date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:31:28	43516/43516	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Mar%202015%2010:31:30%20GMT	http://www.lequipe.fr/explore/golf-l-ennemi-interieur/index.html	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.lequipe.fr/explore/golf-l-ennemi-interieur/index.html	(from )
11:31:30	83995/83995	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Feb%202015%2016:41:46%20GMT	http://www.lemonde.fr/sport/article/2012/12/20/du-podium-au-bloc-operatoire-le-champion-face-au-defi-de-la-grave-blessure_1808823_3242.html	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.lemonde.fr/sport/article/2012/12/20/du-podium-au-bloc-operatoire-le-champion-face-au-defi-de-la-grave-blessure_1808823_3242.html	(from )
11:31:31	145/145	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Mar%202015%2010:31:33%20GMT	http://www.venere.com/fr/france/nice/index.html	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.venere.com/fr/france/nice/index.2.delayed	(from )
11:31:32	736/736	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2002%20Mar%202015%2010:31:33%20GMT	http://www.20minutes.fr/sport/tennis/1491543-20141130-coupe-davis-yannick-noah-pret-revenir-comme-capitaine-si-joueurs-demandent.html	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.20minutes.fr/sport/tennis/1491543-20141130-coupe-davis-yannick-noah-pret-revenir-comme-capitaine-si-joueurs-demandent.3.delayed	(from )
11:31:33	84107/84107	---M--	200	added ('OK')	text/html	date:Tue,%2002%20Dec%202014%2016:30:04%20GMT	http://www.20minutes.fr/sport/1491543-20141130-video-coupe-davis-yannick-noah-pret-redevenir-capitaine-si-joueurs-demandent	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.20minutes.fr/sport/1491543-20141130-video-coupe-davis-yannick-noah-pret-redevenir-capitaine-si-joueurs-demandent.html	(from )
11:31:34	27116/27116	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Mar%202015%2010:31:35%20GMT	http://www.la-croix.com/Actualite/Sport/Quand-les-sportifs-ont-recours-a-une-aide-psychologique-_NG_-2013-02-08-909017.html	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.la-croix.com/Actualite/Sport/Quand-les-sportifs-ont-recours-a-une-aide-psychologique-_NG_-2013-02-08-909017.5.delayed	(from )
11:31:35	716/716	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2002%20Mar%202015%2010:31:37%20GMT	http://www.20minutes.fr/sport/1360005-20140424-20140424-au-dela-fantasmes-footballeur-depressif-comme-autre.html?xtor=AL-82	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.20minutes.fr/sport/1360005-20140424-20140424-au-dela-fantasmes-footballeur-depressif-comme-autre4594.html	(from )
11:31:37	83911/83911	---M--	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202014%2017:38:54%20GMT	http://www.20minutes.fr/sport/1360005-20140424-20140424-au-dela-fantasmes-footballeur-depressif-comme-autre?xtor=AL-82	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.20minutes.fr/sport/1360005-20140424-20140424-au-dela-fantasmes-footballeur-depressif-comme-autre4594.html	(from )
11:31:38	4947/4947	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Mar%202015%2010:45:36%20GMT	http://www.dopage.com/index.html	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.dopage.com/index.8.delayed	(from )
11:31:39	397/397	---M--	404	error ('No%20such%20file')	text/html	date:Mon,%2002%20Mar%202015%2010:31:41%20GMT	http://www.taz.de/%2199601/index.html	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.taz.de/!99601/index.9.delayed	(from )
